"","V1","V2"
"1","1956-01","1254"
"2","1956-02","1290"
"3","1956-03","1379"
"4","1956-04","1346"
"5","1956-05","1535"
"6","1956-06","1555"
"7","1956-07","1655"
"8","1956-08","1651"
"9","1956-09","1500"
"10","1956-10","1538"
"11","1956-11","1486"
"12","1956-12","1394"
"13","1957-01","1409"
"14","1957-02","1387"
"15","1957-03","1543"
"16","1957-04","1502"
"17","1957-05","1693"
"18","1957-06","1616"
"19","1957-07","1841"
"20","1957-08","1787"
"21","1957-09","1631"
"22","1957-10","1649"
"23","1957-11","1586"
"24","1957-12","1500"
"25","1958-01","1497"
"26","1958-02","1463"
"27","1958-03","1648"
"28","1958-04","1595"
"29","1958-05","1777"
"30","1958-06","1824"
"31","1958-07","1994"
"32","1958-08","1835"
"33","1958-09","1787"
"34","1958-10","1699"
"35","1958-11","1633"
"36","1958-12","1645"
"37","1959-01","1597"
"38","1959-02","1577"
"39","1959-03","1709"
"40","1959-04","1756"
"41","1959-05","1936"
"42","1959-06","2052"
"43","1959-07","2105"
"44","1959-08","2016"
"45","1959-09","1914"
"46","1959-10","1925"
"47","1959-11","1824"
"48","1959-12","1765"
"49","1960-01","1721"
"50","1960-02","1752"
"51","1960-03","1914"
"52","1960-04","1857"
"53","1960-05","2159"
"54","1960-06","2195"
"55","1960-07","2287"
"56","1960-08","2276"
"57","1960-09","2096"
"58","1960-10","2055"
"59","1960-11","2004"
"60","1960-12","1924"
"61","1961-01","1851"
"62","1961-02","1839"
"63","1961-03","2019"
"64","1961-04","1937"
"65","1961-05","2270"
"66","1961-06","2251"
"67","1961-07","2382"
"68","1961-08","2364"
"69","1961-09","2129"
"70","1961-10","2110"
"71","1961-11","2072"
"72","1961-12","1980"
"73","1962-01","1995"
"74","1962-02","1932"
"75","1962-03","2171"
"76","1962-04","2162"
"77","1962-05","2489"
"78","1962-06","2424"
"79","1962-07","2641"
"80","1962-08","2630"
"81","1962-09","2324"
"82","1962-10","2412"
"83","1962-11","2284"
"84","1962-12","2186"
"85","1963-01","2184"
"86","1963-02","2144"
"87","1963-03","2379"
"88","1963-04","2383"
"89","1963-05","2717"
"90","1963-06","2774"
"91","1963-07","3051"
"92","1963-08","2891"
"93","1963-09","2613"
"94","1963-10","2600"
"95","1963-11","2493"
"96","1963-12","2410"
"97","1964-01","2390"
"98","1964-02","2463"
"99","1964-03","2616"
"100","1964-04","2734"
"101","1964-05","2970"
"102","1964-06","3125"
"103","1964-07","3342"
"104","1964-08","3207"
"105","1964-09","2964"
"106","1964-10","2919"
"107","1964-11","2764"
"108","1964-12","2732"
"109","1965-01","2622"
"110","1965-02","2698"
"111","1965-03","2950"
"112","1965-04","2895"
"113","1965-05","3200"
"114","1965-06","3408"
"115","1965-07","3679"
"116","1965-08","3473"
"117","1965-09","3154"
"118","1965-10","3107"
"119","1965-11","3052"
"120","1965-12","2918"
"121","1966-01","2786"
"122","1966-02","2739"
"123","1966-03","3125"
"124","1966-04","3033"
"125","1966-05","3486"
"126","1966-06","3661"
"127","1966-07","3927"
"128","1966-08","3851"
"129","1966-09","3456"
"130","1966-10","3390"
"131","1966-11","3280"
"132","1966-12","3166"
"133","1967-01","3080"
"134","1967-02","3069"
"135","1967-03","3340"
"136","1967-04","3310"
"137","1967-05","3798"
"138","1967-06","3883"
"139","1967-07","4191"
"140","1967-08","4213"
"141","1967-09","3766"
"142","1967-10","3628"
"143","1967-11","3520"
"144","1967-12","3322"
"145","1968-01","3250"
"146","1968-02","3287"
"147","1968-03","3552"
"148","1968-04","3440"
"149","1968-05","4153"
"150","1968-06","4265"
"151","1968-07","4655"
"152","1968-08","4492"
"153","1968-09","4051"
"154","1968-10","3967"
"155","1968-11","3807"
"156","1968-12","3639"
"157","1969-01","3647"
"158","1969-02","3560"
"159","1969-03","3929"
"160","1969-04","3858"
"161","1969-05","4485"
"162","1969-06","4697"
"163","1969-07","4977"
"164","1969-08","4675"
"165","1969-09","4596"
"166","1969-10","4491"
"167","1969-11","4127"
"168","1969-12","4144"
"169","1970-01","4014"
"170","1970-02","3994"
"171","1970-03","4320"
"172","1970-04","4400"
