"","V1","V2"
"1","1956-01","196.9"
"2","1956-02","192.1"
"3","1956-03","201.8"
"4","1956-04","186.9"
"5","1956-05","218"
"6","1956-06","214.4"
"7","1956-07","227.5"
"8","1956-08","204.1"
"9","1956-09","225.8"
"10","1956-10","223.7"
"11","1956-11","244.7"
"12","1956-12","243.9"
"13","1957-01","257.3"
"14","1957-02","234.5"
"15","1957-03","251.4"
"16","1957-04","243.8"
"17","1957-05","247.4"
"18","1957-06","245.3"
"19","1957-07","262.5"
"20","1957-08","270"
"21","1957-09","259.9"
"22","1957-10","262.2"
"23","1957-11","244.9"
"24","1957-12","249.3"
"25","1958-01","268.2"
"26","1958-02","231.2"
"27","1958-03","264.3"
"28","1958-04","252.7"
"29","1958-05","275.5"
"30","1958-06","261.5"
"31","1958-07","275.5"
"32","1958-08","272.3"
"33","1958-09","268.6"
"34","1958-10","270.4"
"35","1958-11","267.7"
"36","1958-12","275"
"37","1959-01","272.6"
"38","1959-02","248.6"
"39","1959-03","279.4"
"40","1959-04","270.5"
"41","1959-05","292.8"
"42","1959-06","297.8"
"43","1959-07","296.8"
"44","1959-08","290.9"
"45","1959-09","282.8"
"46","1959-10","312.8"
"47","1959-11","303.2"
"48","1959-12","301.4"
"49","1960-01","289.8"
"50","1960-02","279.6"
"51","1960-03","302.2"
"52","1960-04","299.1"
"53","1960-05","319.7"
"54","1960-06","310.9"
"55","1960-07","315.2"
"56","1960-08","338.5"
"57","1960-09","315.6"
"58","1960-10","321.2"
"59","1960-11","318.5"
"60","1960-12","342.7"
"61","1961-01","261.4"
"62","1961-02","287"
"63","1961-03","331.5"
"64","1961-04","326.9"
"65","1961-05","338.6"
"66","1961-06","337"
"67","1961-07","358.4"
"68","1961-08","344.5"
"69","1961-09","345.7"
"70","1961-10","344.1"
"71","1961-11","317.4"
"72","1961-12","354.5"
"73","1962-01","345.2"
"74","1962-02","314.1"
"75","1962-03","352.5"
"76","1962-04","361.2"
"77","1962-05","365.9"
"78","1962-06","332.5"
"79","1962-07","364"
"80","1962-08","359.1"
"81","1962-09","345.6"
"82","1962-10","366.9"
"83","1962-11","370.2"
"84","1962-12","359.9"
"85","1963-01","366.6"
"86","1963-02","336.3"
"87","1963-03","368.5"
"88","1963-04","374.2"
"89","1963-05","384.3"
"90","1963-06","358.9"
"91","1963-07","407.7"
"92","1963-08","433.3"
"93","1963-09","404.7"
"94","1963-10","392.7"
"95","1963-11","409.7"
"96","1963-12","416.5"
"97","1964-01","414.3"
"98","1964-02","404.3"
"99","1964-03","421.4"
"100","1964-04","372.6"
"101","1964-05","404.7"
"102","1964-06","420.2"
"103","1964-07","438.4"
"104","1964-08","449.1"
"105","1964-09","445.8"
"106","1964-10","413.8"
"107","1964-11","420.5"
"108","1964-12","442.3"
"109","1965-01","438.9"
"110","1965-02","394.5"
"111","1965-03","416.8"
"112","1965-04","402.9"
"113","1965-05","424.5"
"114","1965-06","432.3"
"115","1965-07","484.1"
"116","1965-08","492.7"
"117","1965-09","496.3"
"118","1965-10","471.9"
"119","1965-11","491.2"
"120","1965-12","512.9"
"121","1966-01","482.4"
"122","1966-02","407.9"
"123","1966-03","448.5"
"124","1966-04","431.1"
"125","1966-05","498.8"
"126","1966-06","497.1"
"127","1966-07","517.1"
"128","1966-08","487.7"
"129","1966-09","512.5"
"130","1966-10","550.1"
"131","1966-11","532.5"
"132","1966-12","524.1"
"133","1967-01","515.7"
"134","1967-02","461"
"135","1967-03","529.3"
"136","1967-04","467.4"
"137","1967-05","559.8"
"138","1967-06","536.5"
"139","1967-07","531.9"
"140","1967-08","546.5"
"141","1967-09","547.4"
"142","1967-10","536.1"
"143","1967-11","482.8"
"144","1967-12","551"
"145","1968-01","532.9"
"146","1968-02","484.1"
"147","1968-03","554.8"
"148","1968-04","537"
"149","1968-05","558"
"150","1968-06","511.4"
"151","1968-07","502.9"
"152","1968-08","558.6"
"153","1968-09","545.1"
"154","1968-10","574.3"
"155","1968-11","542.2"
"156","1968-12","600"
"157","1969-01","588.6"
"158","1969-02","524.4"
"159","1969-03","618.5"
"160","1969-04","580.9"
"161","1969-05","557.2"
"162","1969-06","571.2"
"163","1969-07","597.5"
"164","1969-08","601.7"
"165","1969-09","558.9"
"166","1969-10","600.9"
"167","1969-11","601"
"168","1969-12","615.7"
"169","1970-01","578.1"
"170","1970-02","495.9"
"171","1970-03","526.8"
"172","1970-04","522.1"
"173","1970-05","605.1"
"174","1970-06","574.4"
"175","1970-07","609.7"
"176","1970-08","580.7"
"177","1970-09","565.1"
"178","1970-10","590.7"
"179","1970-11","571.5"
"180","1970-12","601.3"
"181","1971-01","567.3"
"182","1971-02","467.9"
"183","1971-03","588.9"
"184","1971-04","579.4"
"185","1971-05","502.6"
"186","1971-06","568.7"
"187","1971-07","616"
"188","1971-08","586.2"
"189","1971-09","575.5"
"190","1971-10","599.9"
"191","1971-11","568.2"
"192","1971-12","516"
"193","1972-01","493.4"
"194","1972-02","496.8"
"195","1972-03","529.9"
"196","1972-04","491.7"
"197","1972-05","543.2"
"198","1972-06","490.8"
"199","1972-07","554.7"
"200","1972-08","625.7"
"201","1972-09","605"
"202","1972-10","645.2"
"203","1972-11","645.2"
"204","1972-12","611.8"
"205","1973-01","600.3"
"206","1973-02","549.8"
"207","1973-03","635.5"
"208","1973-04","617.7"
"209","1973-05","643.5"
"210","1973-06","485.7"
"211","1973-07","689.5"
"212","1973-08","692"
"213","1973-09","677.3"
"214","1973-10","704.7"
"215","1973-11","668.6"
"216","1973-12","717.8"
"217","1974-01","689.8"
"218","1974-02","640.4"
"219","1974-03","675.2"
"220","1974-04","528.1"
"221","1974-05","538"
"222","1974-06","527.2"
"223","1974-07","655.6"
"224","1974-08","650.6"
"225","1974-09","623.7"
"226","1974-10","748.4"
"227","1974-11","727.4"
"228","1974-12","750.5"
"229","1975-01","678.9"
"230","1975-02","659.5"
"231","1975-03","691.9"
"232","1975-04","639.8"
"233","1975-05","663.8"
"234","1975-06","572.9"
"235","1975-07","592.5"
"236","1975-08","734.8"
"237","1975-09","696.1"
"238","1975-10","589.2"
"239","1975-11","662.9"
"240","1975-12","661.2"
"241","1976-01","672.1"
"242","1976-02","583.7"
"243","1976-03","705.5"
"244","1976-04","631"
"245","1976-05","733.3"
"246","1976-06","674.9"
"247","1976-07","695.5"
"248","1976-08","634.1"
"249","1976-09","630.6"
"250","1976-10","635.2"
"251","1976-11","554.1"
"252","1976-12","623.9"
"253","1977-01","679.3"
"254","1977-02","565.6"
"255","1977-03","564.1"
"256","1977-04","637.2"
"257","1977-05","650.8"
"258","1977-06","602.7"
"259","1977-07","587.5"
"260","1977-08","619.2"
"261","1977-09","616.5"
"262","1977-10","637.9"
"263","1977-11","557.9"
"264","1977-12","594"
"265","1978-01","668.7"
"266","1978-02","603.3"
"267","1978-03","674.5"
"268","1978-04","573.4"
"269","1978-05","706"
"270","1978-06","693.7"
"271","1978-07","627.5"
"272","1978-08","550.7"
"273","1978-09","592.3"
"274","1978-10","660.2"
"275","1978-11","597.3"
"276","1978-12","641"
"277","1979-01","663.6"
"278","1979-02","595.9"
"279","1979-03","638.4"
"280","1979-04","665.4"
"281","1979-05","671.4"
"282","1979-06","637"
"283","1979-07","685.7"
"284","1979-08","705.8"
"285","1979-09","704.8"
"286","1979-10","734.4"
"287","1979-11","674.2"
"288","1979-12","748.6"
"289","1980-01","763.4"
"290","1980-02","658"
"291","1980-03","627.5"
"292","1980-04","528.9"
"293","1980-05","488.3"
"294","1980-06","575.5"
"295","1980-07","735.6"
"296","1980-08","685.3"
"297","1980-09","613.6"
"298","1980-10","629.5"
"299","1980-11","634.7"
"300","1980-12","652.6"
"301","1981-01","728.3"
"302","1981-02","634.3"
"303","1981-03","690.7"
"304","1981-04","676.3"
"305","1981-05","675.4"
"306","1981-06","595.6"
"307","1981-07","712.4"
"308","1981-08","735.8"
"309","1981-09","544.4"
"310","1981-10","567"
"311","1981-11","510"
"312","1981-12","564"
"313","1982-01","630.7"
"314","1982-02","496.7"
"315","1982-03","660.9"
"316","1982-04","601.2"
"317","1982-05","655.2"
"318","1982-06","591.6"
"319","1982-07","606.1"
"320","1982-08","560.7"
"321","1982-09","368.3"
"322","1982-10","371.6"
"323","1982-11","413.9"
"324","1982-12","413.9"
"325","1983-01","389"
"326","1983-02","399.2"
"327","1983-03","429.8"
"328","1983-04","395.6"
"329","1983-05","472"
"330","1983-06","486"
"331","1983-07","525"
"332","1983-08","396"
"333","1983-09","511"
"334","1983-10","525"
"335","1983-11","492"
"336","1983-12","517"
"337","1984-01","525"
"338","1984-02","474"
"339","1984-03","539"
"340","1984-04","468"
"341","1984-05","543"
"342","1984-06","532"
"343","1984-07","565"
"344","1984-08","535"
"345","1984-09","534"
"346","1984-10","546"
"347","1984-11","494"
"348","1984-12","552"
"349","1985-01","511"
"350","1985-02","451"
"351","1985-03","537"
"352","1985-04","494"
"353","1985-05","549"
"354","1985-06","544"
"355","1985-07","598"
"356","1985-08","583"
"357","1985-09","582"
"358","1985-10","589"
"359","1985-11","578"
"360","1985-12","561"
"361","1986-01","592"
"362","1986-02","504"
"363","1986-03","545"
